Matrix,Cores,Process_NUMA_Policy,Run,Iterations,IO_Time,SpMV_Time,SpMV_GFLOPS,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
0-0_N1440352.bin,1,membind,1,369,0.098788,10.047989,0.008601,36489784919,199309298454,6326032,329558
0-0_N1440352.bin,1,membind,2,369,0.091309,10.043233,0.008605,36473656743,199309298357,6393551,326813
0-0_N1440352.bin,1,membind,3,369,0.091119,10.041398,0.008606,36469697522,199309298339,5671963,326237
0-0_N1440352.bin,1,membind,4,369,0.090938,10.042523,0.008606,36473105512,199309298355,6375127,327421
0-0_N1440352.bin,1,membind,5,369,0.091275,10.037927,0.008609,36456790679,199309298373,6358527,318397
0-0_N1440352.bin,1,membind,6,369,0.091153,10.041690,0.008606,36470577308,199309298368,6454878,328088
0-0_N1440352.bin,1,membind,7,369,0.091093,10.040084,0.008608,36461708293,199309298353,6403246,325816
0-0_N1440352.bin,1,membind,8,369,0.091000,10.042771,0.008605,36473645117,199309298350,6467009,324776
0-0_N1440352.bin,1,membind,9,369,0.091026,10.041079,0.008607,36464490289,199309298340,5042176,332368
0-0_N1440352.bin,1,membind,10,369,0.090860,10.042514,0.008606,36468954909,199309298347,6370977,317512
0-0_N1440352.bin,1,membind,11,369,0.091005,10.038240,0.008609,36454555568,199309298343,6175832,322613
0-0_N1440352.bin,1,membind,12,369,0.090873,10.040381,0.008607,36464106570,199309298342,6077386,330685
0-0_N1440352.bin,1,membind,13,369,0.091003,10.039698,0.008608,36456479367,199309298344,6132750,324861
0-0_N1440352.bin,1,membind,14,369,0.091194,10.043666,0.008605,36461336512,199309298347,6293734,323016
0-0_N1440352.bin,1,membind,15,369,0.090507,10.040594,0.008607,36465899630,199309298400,6236835,312989
0-0_N1440352.bin,1,interleave,1,369,0.090953,10.040590,0.008607,36468835657,199309298350,6003538,373595
0-0_N1440352.bin,1,interleave,2,369,0.091058,10.046383,0.008602,36483592421,199309298376,6324127,360202
0-0_N1440352.bin,1,interleave,3,369,0.090985,10.051926,0.008597,36489122851,199309298382,6145048,367527
0-0_N1440352.bin,1,interleave,4,369,0.091086,10.045702,0.008603,36482361156,199309298365,6199463,380368
0-0_N1440352.bin,1,interleave,5,369,0.091053,10.038049,0.008609,36460772936,199309298347,3996147,374433
0-0_N1440352.bin,1,interleave,6,369,0.090717,10.044523,0.008604,36483342217,199309298365,5500372,378039
0-0_N1440352.bin,1,interleave,7,369,0.091161,10.037115,0.008610,36456082633,199309298359,4405037,373052
0-0_N1440352.bin,1,interleave,8,369,0.090519,10.042893,0.008605,36477523003,199309298375,5172693,380167
0-0_N1440352.bin,1,interleave,9,369,0.091015,10.039530,0.008608,36465388345,199309298350,5609757,375816
0-0_N1440352.bin,1,interleave,10,369,0.091387,10.045882,0.008603,36484506555,199309298350,5626312,364203
0-0_N1440352.bin,1,interleave,11,369,0.090809,10.038175,0.008609,36461769254,199309298339,4461198,375742
0-0_N1440352.bin,1,interleave,12,369,0.091004,10.044811,0.008604,36484627270,199309298334,5287437,376973
0-0_N1440352.bin,1,interleave,13,369,0.090912,10.039415,0.008608,36462977917,199309298336,3451067,374162
0-0_N1440352.bin,1,interleave,14,369,0.090839,10.045795,0.008603,36484930703,199309298330,5674040,382916
0-0_N1440352.bin,1,interleave,15,369,0.091069,10.039666,0.008608,36461887101,199309298341,3561739,382615
0-0_N1440352.bin,8,membind,1,713,0.091198,10.299302,0.008391,296228627938,385273931908,18497424,6491
